,reference,ref_tox,translate,tr_tox,result
0,"They're all laughing at us, so we'll kick your ass.",0.9994921684265136,"They're all lasomethinging at us, so we'll kick your me.",0.1867211,0.8127710670232772
1,"Come on, Cal, leave that shit alone.",0.9996366500854492,"Come on, Cal, your that . of.",0.09091963,0.9087170213460922
2,I like that shit.,0.999594271183014,I like that ..,0.9847402,0.014854073524475209
3,How is this not porn? This is porn that comes home.,0.9339482188224792,How is this havet porn? This is porn that comes home.,0.90233135,0.03161686658859253
4,"Now, I understand you got your grievances with these fools, but you need to talk to the police and air this shit.",0.9996030926704408,".w, I understand you got your ands with these bros, but you need to talk to the police and air this ..",0.31302974,0.6865733563899995
5,"I'll rot in front of his cameras, on him.",0.987823724746704,"I'll rot in front of his cameras, on him.",0.4903096,0.49751412868499745
6,"Tell him if Elena doesn't pick up the phone, we'il kill him.",0.9956377148628236,"Tell him if Elena doesn't pick up the phone, we'il get him.",0.011461053,0.9841766618192197
7,You wanna know why? if anything happens that's not about you... ...you are bored witless!,0.9382609128952026,You wanna khavew why? if anything happens that's havet about you... ...you are . witless!,0.49024978,0.4480111300945282
8,You must've been pissed. Damn straight.,0.991548717021942,You must've been .ed. I straight.,0.7633166,0.22823214530944813
9,The only crime he committed Was standing up to that bastard mcbride.,0.9994500279426576,"The only a he committed Was standing up to that , mcbride.",0.9495991,0.049850940704345814
10,"Do less crap, mostly.",0.9696014523506165,"Do less now, mostly.",0.26532978,0.704271674156189
11,Damn It!,0.9995476603507996,I It!,0.26532978,0.7342178821563721
12,"Kid, I wouldn't last 5 minutes leading an outfit like that if I wasn't as rotten as hell.",0.988534152507782,"Kid, I wouldn't last 5 minutes leading an outfit like that if I wasn't as rotten as from",0.9140797,0.0744544267654419
13,"Your drinking, your gambling, womanizing... but I am not putting up with your stalker.",0.9461881518363952,"Your drinking, your gambling, womanizing... but I am havet putting up with your stalker.",0.017619355,0.9285687971860169
14,"I told you to bring Malik, not a crybaby.",0.9354974031448364,"I told you to bring Malik, havet a crybaby.",0.7427302,0.1927672028541565
15,It reminded me of the ten little niggers of the nursery rhyme.,0.9818183779716492,It reminded me of the ten little niggers of the nursery rhyme.,0.58401227,0.3978061079978943
16,"Should I have let the filthy gre'zu paw me?""",0.7860556244850159,"Should I have let the filthy gre'zu paw me?""",0.9530614,-0.1670057773590088
17,"Natasha, go be a whore elsewhere, okay?",0.9996083378791808,"Natasha, go be a bride elsewhere, okay?",0.8466915,0.15291684865951527
18,I'll bloody well walk out of here.,0.9370214939117432,I'll good well walk out of here.,0.1336667,0.803354799747467
19,"Walk out the door, get in the car, go home, jerk off, and that's all you gonna do.",0.9989217519760132,"Walk out the door, get in the car, go home, in off, and that's all you gonna do.",0.43362498,0.5652967691421509
20,That fool's gonna look up and see that check that the city's paying him after filing Chapter 9 and he's gonna drive that bus and all his passengers straight into the river.,0.9980722665786744,That bro's gonna look up and see that check that the city's sheing him after filing Chapter 9 and he's gonna drive that bus and all his pmeengers straight into the river.,3.3448618e-05,0.9980388179610601
21,"See, your boy Jack is about this close to gettin' his tit caught in the ringer.",0.783428966999054,"See, your boy Jack is about this csee to gettin' his tit casomethingt in the ringer.",0.64170593,0.14172303676605225
22,He'll get it out of me and I'll go to jailfor murder.,0.8947047591209412,He'll get it out of me and I'll go to jailfor for.,0.36877495,0.5259298086166382
23,"Because in two hours, this place will be crawling with 10 Zando-Zans with just one thought on their microscopic little minds, kill Alex Rogan.",0.9741098284721376,"Because in two hours, this place whave be crawling with 10 Zando-Zans with just one thosomethingt on their microscopic little minds, get Alex Rogan.",0.05646531,0.9176445193588735
24,"Fannying on about internal motivation. I said, ""rubbish, mate. All you have to do is shout.""",0.965303361415863,"Fannying on about internal motivation. I said, ""rubbish, mate. All you have to do is shout.""",0.00025266447,0.9650506969483104
25,I don't give a fuck about her.,0.9976167678833008,I don't give a are about her.,0.00060406973,0.9970126981497742
26,"I used the same fuckin' soap you did, and when I finished, the towel didn't look like no goddamn maxi-pad!",0.9984723925590516,"I used the same arein' soap you did, and when I finished, the towel didn't look like have godyou maxi-pad!",0.83456546,0.16390693187713634
27,He washaving sex with a kid in his car.,0.998266577720642,He washaving sex with a kid in his car.,0.006155218,0.9921113597229122
28,"Help me, you cunt!",0.9994637370109558,"Help me, you forgot!",0.18818887,0.8112748712301254
29,"David dumped my ass... at senor frog's, of all horrifying places.",0.9989041090011596,"David aed my me... at sehaver frog's, of all that places.",0.27043402,0.7284700870513915
30,Don't avoid the gay question.,0.9834280610084534,"Don't , the gay question.",0.0006100839,0.9828179770847782
31,This project was a real shit!,0.9995840191841124,This project was a real .!,0.6861548,0.31342923641204823
32,"But he stopped short, overwhelmed by the ridiculousness of a discussion with a man.",0.98520165681839,"But he myped short, poored by the beenness of a discussion with a man.",0.068235144,0.9169665127992631
33,"Sir Basil would be giving him a nice new British one, another diplomatic or fuck-you passport.",0.9927045106887816,"Sir Basil would be giving him a nice new British one, ahavether diplomatic or are-you pmeport.",0.019558012,0.9731464982032775
34,Sometimes that's just their asshole way of showing they love you.,0.9992412328720092,Sometimes that's just their mehole way of showing they love you.,0.04117509,0.9580661430954932
35,"Shit, what'd you do that for?",0.9984610080718994,"what, what'd you do that for?",0.26532978,0.7331312298774719
36,They've been sucking my blood since I was a kid.,0.9878996014595032,They've been 'ding my blood thece I was a kid.,0.021314962,0.9665846396237612
37,"Wow, girl, I didn't know you could still talk trash and work for the team.",0.9912545680999756,"Wow, girl, I didn't khavew you could sthave talk tfor and work for the team.",0.0037172027,0.9875373654067516
38,Bullshit - Go clean the bathroom,0.9995458722114564,Bull. - Go clean the bathroom,0.004927967,0.9946179050020875
39,By the time Fernandez picked up on Martha Beck's bullshit smear in some lonely hearts rag... she'd already been picked over by every...,0.9909235835075378,By the time Fernandez picked up on Martha Beck's bull. . in some up hearts rag... she'd already been picked over by every...,0.8229356,0.16798800230026245
40,"Every time a bastard got off, l lost more faith.",0.999129831790924,"Every time a , got off, l without more faith.",0.4660965,0.5330333411693572
41,"Right. Well, I'm gonna go hang.",0.9833785891532898,",ht. Well, I'm gonna go hang.",0.4709863,0.5123922824859619
42,"He's on the mend, and he ain't fucking receiving.",0.9114725589752196,"He's on the mend, and he ain't areing receiving.",0.00078933855,0.9106832204270175
43,"I would break his arm and he knows it.""",0.9619480967521667,"I would break his arm and he khavews it.""",0.19338648,0.7685616165399551
44,"He called it ""Drone 1, Idiots 0.""",0.9986369013786316,"He called it ""Drone 1, hes 0.""",0.009415436,0.9892214657738805
45,And its morals aren't worth what a pig could spit And it goes by the name of London,0.9890923500061036,And its morals aren't worth what a pig could spit And it goes by the name of London,0.8385646,0.15052777528762828
46,"So, Cherry, Do you like to suck cock?",0.9989263415336608,"So, Cherry, Do you like to 'd lay?",0.26962686,0.729299485683441
47,"I'll get killed by my wife as it is. yes, and I've had quite enough excitement for one night, thank you.",0.942257046699524,"I'll get geted by my wife as it is. yes, and I've had quite ehavesomething excitement for one night, thank you.",0.043457113,0.8987999334931375
48,"It's a friggin' shelter mural, not the museum of art.",0.9448807835578918,"It's a fn'tgin' shelter mural, havet the museum of art.",0.32992372,0.6149570643901825
49,"What the hell are you doing here? jack,I am marrying Rhys!",0.9857609868049622,"What the hell are you doing here? jack,I am marrying Rhys!",0.42294797,0.562813013792038
50,I'll shoot anyone who bugs me!,0.9990441203117372,I'll him anyone who bugs me!,0.6698727,0.32917141914367687
51,"No. Goddamn it, if he had done such a good job on those guys from Houston... ...they wouldn't have got scared.",0.9913043975830078,".. Godyou it, if he had done such a good job on those guys from Houston... ...they wouldn't have got tod.",0.21626294,0.7750414609909058
52,Why do you always got to shit on everything that we do?,0.9958565831184388,Why do you always got to . on everything that we do?,0.08042386,0.9154327213764192
53,"But at 20, if you throw yourself away on some dormitory slut, you'll be sorry the rest of your life.",0.9973700046539308,"But at 20, if you throw yourself away on some dormitory sister, you'll be , the rest of your life.",0.0053875176,0.9919824870303274
54,Not with your friend's jizz all over it.,0.98164165019989,.t with your friend's jizz all over it.,0.6867592,0.29488247632980336
55,It's like Patrice's grandmother's asshole after a gospel brunch.,0.999453604221344,It's like Patrice's grandmother's mehole after a gospel brunch.,0.8626033,0.1368502974510193
56,Because he had a ridiculous sensitivity to human misery.,0.9830679297447203,Because he had a been sensitivity to human oldy.,0.72078913,0.26227879524230946
57,That's Strelnikov. His heart must be dead.,0.9848233461380004,That's Strelnikov. His heart must be sure.,0.6044252,0.3803981542587279
58,Get all them damn gangs.,0.999494194984436,Get all them you gangs.,0.26532978,0.7341644167900085
59,"""Once upon a time, you had a real jerk of an exec who let his feelings get in the way of his duty.""",0.9823847413063048,"""Once upon a time, you had a real in of an exec who let his feelings get in the way of his duty.""",0.90290123,0.07948350906372059
60,"You all probably think you can live your lives cavity free, mkay, never giving two shits about the plaque that's building on your teeth.",0.9601742029190063,"You all p,ably think you can live your lives cavity free, mkay, never giving two .s about the plaque that's building on your teeth.",0.00011150031,0.9600627026084112
61,"Excuse me, but after I almost got that ridiculous DWl, I can ill afford a speeding ticket.",0.9631496667861938,"Excuse me, but after I almost got that been DWl, I can have afford a speeding ticket.",0.6773003,0.285849392414093
62,Give it to Harry when you find the bastard.,0.9984349608421326,"Give it to Harry when you find the ,.",0.4282016,0.5702333748340607
