,reference,ref_tox,translate,tr_tox,result
0,"They're all laughing at us, so we'll kick your ass.",0.9994921684265136,"they ' re all laughing at us , so we ' ll kick your way .",0.0049915183,0.9945006500929593
1,"Come on, Cal, leave that shit alone.",0.9996366500854492,"come on , cal , leave that stuff alone .",0.9985694,0.0010672211647033691
2,I like that shit.,0.999594271183014,i like that stuff .,0.81735,0.18224430084228527
3,How is this not porn? This is porn that comes home.,0.9339482188224792,how is this not pornography ? this is pornography that comes home .,0.96216553,-0.028217315673828125
4,"Now, I understand you got your grievances with these fools, but you need to talk to the police and air this shit.",0.9996030926704408,"now , i understand you got your side of issues with these individuals , but you need to talk to the police and air this stuff .",0.021517687,0.9780854061245919
5,"I'll rot in front of his cameras, on him.",0.987823724746704,"i ' ll be in front of his cameras , on him .",0.09651458,0.8913091421127318
6,"Tell him if Elena doesn't pick up the phone, we'il kill him.",0.9956377148628236,"tell him if elena doesn ' t pick up the phone , we ' il tel him .",0.017521068,0.9781166464090348
7,You wanna know why? if anything happens that's not about you... ...you are bored witless!,0.9382609128952026,i know know why ? if anything happens that ' s not about you . . . . . . you are bored witsed !,0.0036417942,0.9346191186923534
8,You must've been pissed. Damn straight.,0.991548717021942,you must ' ve been there . of straight .,0.037609167,0.9539395496249198
9,The only crime he committed Was standing up to that bastard mcbride.,0.9994500279426576,the only crime he committed was standing up to that mcbride mcbride .,0.21602942,0.7834206074476243
10,"Do less crap, mostly.",0.9696014523506165,"do less stuff , mostly .",0.97765625,-0.008054792881011963
11,Damn It!,0.9995476603507996,. it !,0.26532978,0.7342178821563721
12,"Kid, I wouldn't last 5 minutes leading an outfit like that if I wasn't as rotten as hell.",0.988534152507782,"kid , i wouldn ' t last 5 minutes leading an outfit like that if i wasn ' t as raw as myself .",0.6268856,0.3616485595703125
13,"Your drinking, your gambling, womanizing... but I am not putting up with your stalker.",0.9461881518363952,"the drinking , your gambling , theage . . . but i am not putting up with your problem .",0.0013233577,0.9448647941462694
14,"I told you to bring Malik, not a crybaby.",0.9354974031448364,"i told you to bring malik , not a bride dobie .",0.84182817,0.09366923570632935
15,It reminded me of the ten little niggers of the nursery rhyme.,0.9818183779716492,it reminded me of the ten little ny tokens of the nursery rhyme .,0.9305059,0.05131250619888306
16,"Should I have let the filthy gre'zu paw me?""",0.7860556244850159,"should i have let the ' gre ' zu paw me ? """,0.82285273,-0.03679710626602173
17,"Natasha, go be a whore elsewhere, okay?",0.9996083378791808,"natasha , go be a th elsewhere , okay ?",4.187351e-05,0.9995664643683994
18,I'll bloody well walk out of here.,0.9370214939117432,i ' ll very well walk out of here .,0.8077179,0.12930357456207275
19,"Walk out the door, get in the car, go home, jerk off, and that's all you gonna do.",0.9989217519760132,"walk out the door , get in the car , go home , get off , and that ' s all you gonna do .",0.018766062,0.9801556896418333
20,That fool's gonna look up and see that check that the city's paying him after filing Chapter 9 and he's gonna drive that bus and all his passengers straight into the river.,0.9980722665786744,that general ' s gonna look up and see that check that the city ' s paying him after filing chapter 9 and he ' s gonna drive that bus and all his passengers straight into the river .,0.017703073,0.9803691934794189
21,"See, your boy Jack is about this close to gettin' his tit caught in the ringer.",0.783428966999054,"see , that boy , is about this close to gettin ' his tap caught in the ringer .",0.57708454,0.20634442567825317
22,He'll get it out of me and I'll go to jailfor murder.,0.8947047591209412,he ' ll get it out of me and i ' ll go to jailfor this .,0.029568488,0.8651362713426352
23,"Because in two hours, this place will be crawling with 10 Zando-Zans with just one thought on their microscopic little minds, kill Alex Rogan.",0.9741098284721376,"because in two hours , this place will be crawling with 10 zando - zans with just one thought on their microscopic little minds , find alex rogan .",0.78441054,0.18969929218292247
24,"Fannying on about internal motivation. I said, ""rubbish, mate. All you have to do is shout.""",0.965303361415863,".ing on about internal motivation . i said , "" sorry , mate . all you have to do is shout . """,1.2876317e-05,0.9652904850991035
25,I don't give a fuck about her.,0.9976167678833008,i don ' t give a way about her .,0.46260822,0.5350085496902466
26,"I used the same fuckin' soap you did, and when I finished, the towel didn't look like no goddamn maxi-pad!",0.9984723925590516,"i used the same 'i ' soap you did , and when i finished , the towel didn ' t look like no ' maxi - pad !",0.08899068,0.9094817116856576
27,He washaving sex with a kid in his car.,0.998266577720642,he washaving and with a kid in his car .,0.016062634,0.9822039436548947
28,"Help me, you cunt!",0.9994637370109558,"help me , you 'rie !",0.014857875,0.9846058618277311
29,"David dumped my ass... at senor frog's, of all horrifying places.",0.9989041090011596,"david dumped my back . . . at senor frog ' s , of all . . . places .",0.01797816,0.9809259492903947
30,Don't avoid the gay question.,0.9834280610084534,don ' t avoid the to question .,0.015618249,0.9678098121657968
31,This project was a real shit!,0.9995840191841124,this project was a real thing !,0.61640143,0.3831825852394103
32,"But he stopped short, overwhelmed by the ridiculousness of a discussion with a man.",0.98520165681839,"but he stopped short , overwhelmed by the notionness of a discussion with a man .",0.06745498,0.9177466779947282
33,"Sir Basil would be giving him a nice new British one, another diplomatic or fuck-you passport.",0.9927045106887816,"sir basil would be giving him a nice new british one , another diplomatic or whatever - you passport .",0.019601943,0.9731025677174329
34,Sometimes that's just their asshole way of showing they love you.,0.9992412328720092,sometimes that ' s just their other way of showing they love you .,0.041724455,0.9575167782604693
35,"Shit, what'd you do that for?",0.9984610080718994,". , what ' d you do that for ?",0.26532978,0.7331312298774719
36,They've been sucking my blood since I was a kid.,0.9878996014595032,they ' ve been taking my blood since i was a kid .,0.03452223,0.9533773697912693
37,"Wow, girl, I didn't know you could still talk trash and work for the team.",0.9912545680999756,"wow , girl , i didn ' t know you could still talk gossip and work for the team .",0.0013000662,0.9899545018561184
38,Bullshit - Go clean the bathroom,0.9995458722114564,. - go clean the bathroom,0.95907176,0.04047411680221569
